epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.225,1.78715,3.13949,1.63715,1.54568,0.4329,0.52516,0.53163,0.24111,0.37964,0.4122,0.40882,0.13238,1.97031,6.25883,2.49243,1.86449,0.0678944,0.000992958,0.000992958
2,108.283,1.77288,2.9641,1.43164,1.5421,0.54072,0.51864,0.49937,0.22464,0.54599,0.51696,0.48726,0.2038,2.07094,3.72023,2.01109,1.84808,0.0355609,0.00199284,0.00199284
3,157.313,1.75777,2.93488,1.40173,1.52862,0.57252,0.5584,0.5733,0.27123,0.55881,0.54933,0.55672,0.2397,1.83922,3.34673,2.38451,1.69781,0.00322697,0.00299223,0.00299223
4,206.08,1.72296,2.88208,1.35544,1.50381,0.74055,0.62847,0.65565,0.32724,0.72973,0.61365,0.62977,0.25763,1.84153,3.38598,2.13269,1.67943,0.00299835,0.00299835,0.00299835
5,254.891,1.67158,2.79776,1.27065,1.46841,0.73286,0.63724,0.67616,0.333,0.73269,0.63203,0.66647,0.30143,1.81688,3.00437,1.7474,1.63272,0.00299707,0.00299707,0.00299707
6,303.559,1.65808,2.80136,1.24376,1.46708,0.73796,0.61914,0.65389,0.3364,0.75428,0.62219,0.65204,0.30757,1.8256,3.06164,1.4362,1.63009,0.00299542,0.00299542,0.00299542
7,352.333,1.62598,2.76309,1.21725,1.43749,0.75645,0.66866,0.72759,0.37293,0.7708,0.66404,0.71886,0.32414,1.70727,2.91544,1.25638,1.50642,0.00299341,0.00299341,0.00299341
8,400.949,1.61147,2.73265,1.18946,1.42658,0.78102,0.66022,0.72746,0.40026,0.82098,0.63078,0.71426,0.36187,1.65758,2.75065,1.1741,1.465,0.00299103,0.00299103,0.00299103
9,449.664,1.60053,2.7231,1.16421,1.41658,0.81429,0.66852,0.75362,0.41079,0.78742,0.65473,0.7293,0.3561,1.63211,2.8669,1.13153,1.45934,0.00298829,0.00298829,0.00298829
10,498.293,1.58123,2.70449,1.17967,1.40374,0.77255,0.68565,0.7466,0.39677,0.76061,0.67887,0.72405,0.35838,1.66809,2.74356,1.17855,1.49846,0.00298519,0.00298519,0.00298519
11,546.899,1.57281,2.65634,1.14049,1.39637,0.78811,0.69171,0.74439,0.40218,0.77696,0.67511,0.72089,0.36051,1.58231,2.74653,1.16049,1.41868,0.00298172,0.00298172,0.00298172
12,595.439,1.54948,2.68577,1.11308,1.38898,0.79769,0.69041,0.75888,0.40983,0.79421,0.68497,0.74461,0.36495,1.61373,2.75037,1.22735,1.43419,0.00297789,0.00297789,0.00297789
13,644.387,1.55898,2.63408,1.11537,1.38998,0.76941,0.7035,0.73953,0.41347,0.7555,0.69117,0.71798,0.35813,1.61811,2.81666,1.30061,1.48585,0.0029737,0.0029737,0.0029737
14,693.089,1.51815,2.60541,1.08639,1.36718,0.75421,0.6808,0.73268,0.40982,0.76808,0.67122,0.71989,0.37325,1.61187,2.69574,1.18941,1.46899,0.00296915,0.00296915,0.00296915
15,741.773,1.51015,2.58954,1.05907,1.35559,0.77107,0.6973,0.75718,0.42329,0.77112,0.6947,0.74835,0.37461,1.5698,2.72218,1.06984,1.40971,0.00296424,0.00296424,0.00296424
16,790.441,1.49121,2.58357,1.05143,1.35372,0.81271,0.69922,0.76039,0.4247,0.8023,0.69636,0.74801,0.37752,1.56084,2.69913,1.05747,1.42276,0.00295897,0.00295897,0.00295897
17,839.143,1.5046,2.56206,1.04401,1.35937,0.81557,0.72153,0.7908,0.45174,0.8248,0.71471,0.78038,0.40533,1.52063,2.58361,1.00431,1.37846,0.00295335,0.00295335,0.00295335
18,887.873,1.48288,2.54945,1.04001,1.34427,0.77825,0.73289,0.7829,0.44637,0.78873,0.71688,0.77119,0.39794,1.54144,2.65003,1.01327,1.39362,0.00294737,0.00294737,0.00294737
19,936.319,1.48778,2.56241,1.02221,1.33653,0.82143,0.72641,0.7897,0.44473,0.81961,0.70063,0.75641,0.38171,1.54664,2.76347,0.9965,1.40101,0.00294104,0.00294104,0.00294104
20,984.896,1.47757,2.53369,1.01622,1.35352,0.81081,0.71762,0.77836,0.41889,0.8147,0.70589,0.76152,0.37618,1.56559,2.71742,1.10226,1.44304,0.00293435,0.00293435,0.00293435
21,1033.41,1.46923,2.49802,1.01682,1.33228,0.82056,0.72375,0.80122,0.45303,0.83636,0.71664,0.79097,0.40666,1.5437,2.6049,0.98421,1.38064,0.00292732,0.00292732,0.00292732
22,1082.13,1.4615,2.53133,0.99832,1.32796,0.81353,0.72236,0.79214,0.4537,0.81741,0.71152,0.77849,0.40028,1.53554,2.62171,1.01541,1.39325,0.00291994,0.00291994,0.00291994
23,1130.69,1.45265,2.50048,0.9966,1.32279,0.83135,0.70059,0.76546,0.45033,0.8324,0.69925,0.75731,0.39929,1.51836,2.60193,1.09767,1.38564,0.00291221,0.00291221,0.00291221
24,1179.25,1.44084,2.46704,0.97719,1.31429,0.80367,0.74073,0.79287,0.4536,0.81768,0.71758,0.77755,0.40415,1.5107,2.55677,1.04473,1.38331,0.00290413,0.00290413,0.00290413
25,1227.8,1.43638,2.46532,0.98015,1.31069,0.80353,0.72962,0.79657,0.4569,0.80767,0.72839,0.78701,0.41158,1.49557,2.59003,0.99214,1.38086,0.00289572,0.00289572,0.00289572
26,1276.59,1.43603,2.48953,0.98042,1.31364,0.81801,0.71171,0.78732,0.44762,0.81111,0.70916,0.7725,0.40088,1.53287,2.61865,1.01083,1.40398,0.00288696,0.00288696,0.00288696
27,1324.96,1.43981,2.47405,0.99159,1.32286,0.80548,0.72624,0.79178,0.45657,0.83677,0.71025,0.78187,0.40939,1.50956,2.57199,0.94847,1.36703,0.00287787,0.00287787,0.00287787
28,1373.33,1.43015,2.45131,0.95929,1.30936,0.79541,0.7426,0.77879,0.44509,0.81459,0.73022,0.77463,0.40035,1.51269,2.53352,0.97055,1.39276,0.00286843,0.00286843,0.00286843
29,1421.76,1.42625,2.45389,0.94625,1.29981,0.78761,0.74624,0.7882,0.45138,0.79507,0.74419,0.78728,0.41159,1.53132,2.55808,0.98728,1.36967,0.00285867,0.00285867,0.00285867
30,1470.11,1.4434,2.45213,0.96647,1.31148,0.77847,0.74744,0.79609,0.45169,0.81977,0.71524,0.78629,0.41382,1.54712,2.56407,0.96413,1.40474,0.00284857,0.00284857,0.00284857
31,1518.59,1.40228,2.41132,0.93767,1.28878,0.83083,0.71333,0.79821,0.46126,0.83749,0.71729,0.79444,0.41094,1.51386,2.54993,0.93113,1.37339,0.00283814,0.00283814,0.00283814
32,1567.15,1.39687,2.40705,0.92947,1.29066,0.82509,0.76335,0.81843,0.46964,0.8444,0.74455,0.80776,0.4224,1.50939,2.57566,0.91725,1.37386,0.00282739,0.00282739,0.00282739
33,1615.82,1.40763,2.42772,0.94112,1.2873,0.80345,0.73533,0.79542,0.45846,0.83979,0.70596,0.78746,0.41462,1.50197,2.51244,0.9836,1.38972,0.00281632,0.00281632,0.00281632
34,1664.28,1.38176,2.39498,0.9101,1.27543,0.857,0.7036,0.76367,0.44872,0.86218,0.70424,0.76305,0.40424,1.52,2.5443,1.11064,1.38599,0.00280492,0.00280492,0.00280492
35,1712.74,1.39695,2.40623,0.92568,1.27768,0.81572,0.74211,0.80928,0.48028,0.81749,0.73443,0.80019,0.42854,1.46315,2.44551,0.92897,1.33982,0.0027932,0.0027932,0.0027932
36,1761.43,1.37289,2.40373,0.91925,1.27225,0.83155,0.74025,0.81077,0.481,0.8489,0.72987,0.80014,0.42617,1.44094,2.52082,0.93292,1.34322,0.00278117,0.00278117,0.00278117
37,1809.81,1.36942,2.39914,0.89217,1.27227,0.8452,0.74708,0.82064,0.49002,0.85067,0.74591,0.81337,0.43276,1.4635,2.50335,0.8632,1.32636,0.00276883,0.00276883,0.00276883
38,1858.3,1.36196,2.37562,0.88596,1.27023,0.84924,0.74668,0.82514,0.49068,0.82885,0.75285,0.81604,0.43935,1.45883,2.44296,0.90314,1.33734,0.00275617,0.00275617,0.00275617
39,1906.92,1.36218,2.34929,0.88418,1.26223,0.79661,0.76715,0.81407,0.49048,0.80811,0.76014,0.80847,0.43824,1.44498,2.47377,0.91234,1.34756,0.00274321,0.00274321,0.00274321
40,1955.19,1.36286,2.34379,0.88063,1.26289,0.79948,0.76954,0.82204,0.48663,0.81239,0.75591,0.81076,0.43259,1.44961,2.49386,0.88815,1.3265,0.00272995,0.00272995,0.00272995
41,2003.57,1.35617,2.36146,0.90038,1.26376,0.80346,0.77447,0.81925,0.47847,0.81933,0.76781,0.81419,0.43285,1.46893,2.47508,0.91328,1.35868,0.00271639,0.00271639,0.00271639
42,2051.99,1.35542,2.37019,0.8934,1.26223,0.81777,0.76146,0.81067,0.47611,0.8194,0.75423,0.80078,0.42945,1.46258,2.44473,0.91105,1.33349,0.00270253,0.00270253,0.00270253
