platform,method,mean_px,median_px,p95_px
A,ECC,54.26994505375624,22.179123878479004,269.4578628540039
A,MI,54.76470625758171,10.563339233398438,246.71226348876942
A,LoFTR,44.41884003967047,1.3423130512237549,257.8955688476562
A,ECC+MI,75.38954553723335,38.00664138793945,270.84625854492185
B,ECC,92.26073704749346,45.48264694213867,364.81218566894523
B,MI,62.871892935037614,38.06251907348633,180.30727310180586
B,LoFTR,50.1828579756245,1.9263166189193726,271.7814254760735
B,ECC+MI,123.61300298452377,91.62129592895508,382.6647781372069
C,ECC,13.535476368665694,8.185138702392578,36.10929107666015
C,MI,6.590484328567982,4.445346355438232,10.147668027877803
C,LoFTR,4.6503465819358825,1.4633598923683167,8.233772706985473
C,ECC+MI,14.801656848192215,7.213467836380005,56.28274364471435
D,ECC,58.206670113801955,21.68431854248047,228.24821166992186
D,MI,48.489603352546695,7.652074575424194,226.45490951538082
D,LoFTR,41.78740063965321,1.4950406551361084,222.03931655883787
D,ECC+MI,61.27764245510102,23.870651245117188,226.45490951538082
